Employee_No,Employee_Code,Name,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,Basic Salary_0
684,55,Nathen Langosh MD,Male,1,Married,22,1998-06-25,2021-01-16,Inactive,2021-01-16,\N,Staff,Permanant,Buddhist,Technical Officer,1978,41339.5
685,4521,Mr Efren Langworth Jr,Male,1,Married,31,2019-01-01,2020-11-28,Inactive,2020-11-28,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1972,2000.0
686,4537,Lacey Paucek,Male,1,Married,31,2019-02-01,0000-00-00,Inactive,2020-09-30,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1954,1000.0
689,4776,Mrs Bessie Schultz,Male,1,Married,99,2019-06-24,0000-00-00,Inactive,2020-12-31,\N,Staff,Contarct Basis,Buddhist,Resident Site Engineer,1959,41820.0
690,4777,Miss Wanda Bayer,Male,1,Married,7,2019-06-24,2022-02-10,Inactive,2022-02-10,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1974,25000.0
691,4813,Irving Paucek,Male,1,Single,22,2019-03-07,0000-00-00,Inactive,2020-12-30,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1991,28176.0
692,4857,Dr Marion Borer,Male,1,Married,6,2019-01-08,0000-00-00,Inactive,2020-12-31,\N,Staff,Contarct Basis,Buddhist,Project Manager,1987,77985.0
693,50016,Prof Sienna Quigley,Male,1,Married,99,2019-03-10,0000-00-00,Inactive,2020-04-02,\N,Staff,Contarct Basis,Buddhist,Resident Site Engineer,1955,36526.0
695,4615,Chanel Spencer,Male,1,Married,31,2019-02-01,2020-11-25,Inactive,2020-11-25,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1965,2500.0
697,4742,Cletus Bayer Sr,Male,1,Married,31,2019-05-01,2021-08-31,Inactive,2021-08-31,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1981,9500.0
698,4977,Dr Dashawn Bailey,Male,1,Married,122,2020-06-01,0000-00-00,Active,0000-00-00,\N,Labour,Contarct Basis,Buddhist,Security,1958,9920.0
699,2815,Weston Prohaska III,Male,1,Married,22,2016-12-22,0000-00-00,Active,0000-00-00,1964,Staff,Contarct Basis,Buddhist,Technical Officer,1986,32000.0
700,70087,Alejandra Kreiger,Male,1,Single,122,2019-09-01,0000-00-00,Active,0000-00-00,\N,Labour,Contarct Basis,Buddhist,Security,1991,0.0
701,5150,Prof Marlin Adams,Male,1,Single,31,2021-01-01,2022-04-07,Inactive,2022-04-07,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1992,13500.0
702,75127,Fausto Konopelski,Male,1,Married,122,2019-10-09,2020-11-22,Inactive,2020-11-22,\N,Labour,Contarct Basis,Buddhist,Security,1961,0.0
703,75128,Cali Jacobson,Male,1,Married,122,2019-10-10,2021-03-30,Inactive,2021-03-30,\N,Labour,Contarct Basis,Buddhist,Security,1981,0.0
709,3952,Leif Konopelski,Male,1,Single,48,2018-06-01,2022-02-24,Inactive,2022-02-24,\N,Staff,Contarct Basis,Buddhist,Draughtsman,1994,23000.0
710,5020,Prof Norma Osinski MD,Male,1,Single,31,2020-01-08,2020-11-24,Inactive,2020-11-24,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999,9280.0
711,4341,Brandt Satterfield,Male,1,Married,24,2018-10-10,0000-00-00,Inactive,2020-06-10,\N,Staff,Contarct Basis,Buddhist,Driver,1972,20552.666666666664
712,4398,Hope White,Male,5,Single,65,2018-11-12,2022-06-30,Inactive,2022-06-30,\N,Staff,Contarct Basis,Muslim,Design Engineer,1994,50000.0
713,4574,Wilburn Gleason,Male,1,Single,86,2019-02-25,0000-00-00,Active,0000-00-00,\N,Staff,Contarct Basis,Buddhist,QA/QC Engineer,1993,60000.0
715,4723,Dr Ward Pagac,Male,1,Single,33,2019-06-10,2021-10-18,Inactive,2021-10-18,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1992,40000.0
716,50000,Prof Vickie Oberbrunner I,Male,3,Married,6,2020-04-01,2020-12-12,Inactive,2020-12-12,716,Staff,Contarct Basis,Hindu,Project Manager,1962,74035.0
717,50004,Mrs Veronica Ziemann,Female,1,Single,125,2020-07-10,0000-00-00,Active,0000-00-00,\N,Staff,Contarct Basis,Buddhist,Data Colector,1993,23000.0
719,5056,Emilio Lebsack,Male,1,Married,31,2020-02-02,2021-03-30,Inactive,2021-01-15,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958,19840.0
718,50005,Dr Jessy Schmidt,Female,1,Single,125,2020-07-03,0000-00-00,Active,0000-00-00,\N,Staff,Contarct Basis,Buddhist,Data Colector,1996,23000.0
